season,team,proj_wins,posted,lambda,vs_posted,claim,generated_at
2026,LA,11.5,11.5,0.0,0.0,"BACKTESTED, NOT LIVE-VALIDATED. Does not beat the posted win total.",2026-08-19T02:48:47.632681+00:00
2026,BAL,11.5,11.5,0.0,0.0,"BACKTESTED, NOT LIVE-VALIDATED. Does not beat the posted win total.",2026-08-19T02:48:47.632681+00:00
2026,DET,10.5,10.5,0.0,0.0,"BACKTESTED, NOT LIVE-VALIDATED. Does not beat the posted win total.",2026-08-19T02:48:47.632681+00:00
2026,PHI,10.5,10.5,0.0,0.0,"BACKTESTED, NOT LIVE-VALIDATED. Does not beat the posted win total.",2026-08-19T02:48:47.632681+00:00
2026,KC,10.5,10.5,0.0,0.0,"BACKTESTED, NOT LIVE-VALIDATED. Does not beat the posted win total.",2026-08-19T02:48:47.632681+00:00
2026,SEA,10.5,10.5,0.0,0.0,"BACKTESTED, NOT LIVE-VALIDATED. Does not beat the posted win total.",2026-08-19T02:48:47.632681+00:00
2026,NE,10.5,10.5,0.0,0.0,"BACKTESTED, NOT LIVE-VALIDATED. Does not beat the posted win total.",2026-08-19T02:48:47.632681+00:00
2026,CIN,10.5,10.5,0.0,0.0,"BACKTESTED, NOT LIVE-VALIDATED. Does not beat the posted win total.",2026-08-19T02:48:47.632681+00:00
2026,BUF,10.5,10.5,0.0,0.0,"BACKTESTED, NOT LIVE-VALIDATED. Does not beat the posted win total.",2026-08-19T02:48:47.632681+00:00
2026,SF,9.5,9.5,0.0,0.0,"BACKTESTED, NOT LIVE-VALIDATED. Does not beat the posted win total.",2026-08-19T02:48:47.632681+00:00
2026,DAL,9.5,9.5,0.0,0.0,"BACKTESTED, NOT LIVE-VALIDATED. Does not beat the posted win total.",2026-08-19T02:48:47.632681+00:00
2026,DEN,9.5,9.5,0.0,0.0,"BACKTESTED, NOT LIVE-VALIDATED. Does not beat the posted win total.",2026-08-19T02:48:47.632681+00:00
2026,HOU,9.5,9.5,0.0,0.0,"BACKTESTED, NOT LIVE-VALIDATED. Does not beat the posted win total.",2026-08-19T02:48:47.632681+00:00
2026,CHI,9.5,9.5,0.0,0.0,"BACKTESTED, NOT LIVE-VALIDATED. Does not beat the posted win total.",2026-08-19T02:48:47.632681+00:00
2026,LAC,9.5,9.5,0.0,0.0,"BACKTESTED, NOT LIVE-VALIDATED. Does not beat the posted win total.",2026-08-19T02:48:47.632681+00:00
2026,GB,9.5,9.5,0.0,0.0,"BACKTESTED, NOT LIVE-VALIDATED. Does not beat the posted win total.",2026-08-19T02:48:47.632681+00:00
2026,JAX,8.5,8.5,0.0,0.0,"BACKTESTED, NOT LIVE-VALIDATED. Does not beat the posted win total.",2026-08-19T02:48:47.632681+00:00
2026,TB,8.5,8.5,0.0,0.0,"BACKTESTED, NOT LIVE-VALIDATED. Does not beat the posted win total.",2026-08-19T02:48:47.632681+00:00
2026,PIT,8.5,8.5,0.0,0.0,"BACKTESTED, NOT LIVE-VALIDATED. Does not beat the posted win total.",2026-08-19T02:48:47.632681+00:00
2026,MIN,8.5,8.5,0.0,0.0,"BACKTESTED, NOT LIVE-VALIDATED. Does not beat the posted win total.",2026-08-19T02:48:47.632681+00:00
2026,NO,7.5,7.5,0.0,0.0,"BACKTESTED, NOT LIVE-VALIDATED. Does not beat the posted win total.",2026-08-19T02:48:47.632681+00:00
2026,NYG,7.5,7.5,0.0,0.0,"BACKTESTED, NOT LIVE-VALIDATED. Does not beat the posted win total.",2026-08-19T02:48:47.632681+00:00
2026,WAS,7.5,7.5,0.0,0.0,"BACKTESTED, NOT LIVE-VALIDATED. Does not beat the posted win total.",2026-08-19T02:48:47.632681+00:00
2026,ATL,7.5,7.5,0.0,0.0,"BACKTESTED, NOT LIVE-VALIDATED. Does not beat the posted win total.",2026-08-19T02:48:47.632681+00:00
2026,IND,7.5,7.5,0.0,0.0,"BACKTESTED, NOT LIVE-VALIDATED. Does not beat the posted win total.",2026-08-19T02:48:47.632681+00:00
2026,CAR,7.5,7.5,0.0,0.0,"BACKTESTED, NOT LIVE-VALIDATED. Does not beat the posted win total.",2026-08-19T02:48:47.632681+00:00
2026,TEN,6.5,6.5,0.0,0.0,"BACKTESTED, NOT LIVE-VALIDATED. Does not beat the posted win total.",2026-08-19T02:48:47.632681+00:00
2026,NYJ,5.5,5.5,0.0,0.0,"BACKTESTED, NOT LIVE-VALIDATED. Does not beat the posted win total.",2026-08-19T02:48:47.632681+00:00
2026,LV,5.5,5.5,0.0,0.0,"BACKTESTED, NOT LIVE-VALIDATED. Does not beat the posted win total.",2026-08-19T02:48:47.632681+00:00
2026,CLE,5.5,5.5,0.0,0.0,"BACKTESTED, NOT LIVE-VALIDATED. Does not beat the posted win total.",2026-08-19T02:48:47.632681+00:00
2026,MIA,3.5,3.5,0.0,0.0,"BACKTESTED, NOT LIVE-VALIDATED. Does not beat the posted win total.",2026-08-19T02:48:47.632681+00:00
2026,ARI,3.5,3.5,0.0,0.0,"BACKTESTED, NOT LIVE-VALIDATED. Does not beat the posted win total.",2026-08-19T02:48:47.632681+00:00
